	0
1	1.2554687
3	1.7545602
4	0.54006064
5	1.2458434
6	0.7391074
7	1.4068046
8	1.0074155
11	1.4586143
14	1.158705
16	0.99035704
18	0.73161083
19	1.118733
20	1.183232
22	1.1401098
24	0.70061004
26	1.3048066
28	0.87137645
32	1.147508
33	0.5276704
35	0.84668565
36	1.8205664
37	1.1448624
38	1.3706121
40	1.4008961
41	1.4776592
42	1.5784993
43	0.55446005
44	0.51227516
46	1.182547
49	0.5916748
52	1.6270368
54	1.152945
55	0.6675166
56	1.2714074
57	0.7171414
58	1.4615244
62	1.1595095
63	0.84668565
65	1.5455023
66	1.3647642
67	1.5329251
68	1.454918
69	1.2592027
70	1.1956077
71	1.1780959
72	1.288625
73	0.5240413
74	1.180038
75	1.2878932
76	0.84668565
77	0.96882856
78	1.1392698
79	0.74180114
80	1.2538291
81	1.2651238
82	1.2730247
83	0.5823803
84	1.512105
85	0.45509124
86	0.84668565
87	1.3306824
88	0.53570837
89	1.308357
90	0.84668565
91	1.7759304
92	1.3178153
93	0.5960415
94	0.9161131
96	1.4137137
97	1.0620886
98	1.4539615
99	0.65813124
100	0.73348707
101	1.4674644
102	1.3424681
104	1.2195477
105	0.9568975
107	1.1847641
108	1.6829774
109	1.3136091
110	1.3771623
112	1.5016243
113	1.3215692
114	0.8692034
115	1.5522982
116	1.1051916
118	0.5393409
119	0.92973995
120	0.5836078
121	0.84720564
122	1.1229441
123	1.1160281
124	1.06426
125	1.1781387
126	1.4229212
127	0.4792847
128	0.6841421
129	1.305309
130	0.71954715
131	1.8384701
132	1.7122633
133	1.1648804
134	0.82221484
135	1.4058262
136	1.3524238
137	1.5291722
138	1.3668436
139	1.5803114
140	1.0498698
141	0.51143515
142	0.84668565
143	0.7327375
144	1.3480954
145	1.1242808
146	1.3185135
147	0.8113191
148	1.1920562
149	0.95237595
150	1.2127278
151	1.1560826
155	0.7149418
156	1.2708021
158	0.73305774
159	0.81775683
160	1.5636253
163	0.75701183
165	0.7735703
166	0.5487301
167	1.1252563
168	0.9378903
170	1.4246603
171	0.46653843
172	0.64557594
173	0.84668565
174	1.2497132
175	1.5468212
176	0.97446036
177	0.7766149
178	2.5218253
179	0.81965715
180	1.1038642
181	0.84668565
182	1.4795983
183	0.84668565
184	1.1747415
185	1.4312892
187	1.569792
188	1.6798213
189	1.5251931
190	0.84668565
192	1.512167
193	0.75768286
194	0.83681744
195	1.4245106
196	2.0214448
197	1.2805758
198	0.84833777
